iter	Passed	Remaining
701	1467	622
702	1470	621
703	1472	619
704	1474	617
705	1475	614
706	1477	612
707	1480	610
708	1481	608
709	1484	606
710	1487	604
711	1489	602
712	1491	600
713	1494	598
714	1496	596
715	1498	594
716	1501	592
717	1503	590
718	1504	588
719	1506	585
720	1507	583
721	1509	581
722	1511	579
723	1513	577
724	1516	575
725	1517	572
726	1519	570
727	1521	568
728	1523	566
729	1525	564
730	1526	561
731	1529	559
732	1531	557
733	1532	555
734	1534	553
735	1536	551
736	1538	549
737	1540	546
738	1542	544
739	1544	542
740	1546	540
741	1548	538
742	1549	536
743	1551	533
744	1553	531
745	1555	529
746	1557	527
747	1560	525
748	1562	523
749	1564	521
750	1566	519
751	1568	517
752	1570	515
753	1572	513
754	1575	511
755	1577	509
756	1579	507
757	1582	505
758	1584	503
759	1585	500
760	1587	498
761	1590	496
762	1591	494
763	1593	492
764	1594	489
765	1596	487
766	1599	485
767	1601	483
768	1603	481
769	1606	479
770	1607	477
771	1609	475
772	1611	473
773	1613	470
774	1614	468
775	1616	466
776	1618	464
777	1620	462
778	1622	460
779	1624	458
780	1626	455
781	1628	453
782	1631	452
783	1635	450
784	1637	448
785	1640	446
786	1644	445
787	1648	443
788	1651	441
789	1653	439
790	1655	437
791	1658	435
792	1660	433
793	1663	431
794	1666	429
795	1668	427
796	1670	425
797	1672	423
798	1674	421
799	1676	419
800	1678	417
801	1681	415
802	1684	413
803	1686	411
804	1689	409
805	1691	407
806	1695	405
807	1698	403
808	1702	402
809	1705	400
810	1710	398
811	1718	397
812	1723	396
813	1727	394
814	1733	393
815	1736	391
816	1738	389
817	1741	387
818	1743	385
819	1744	382
820	1747	380
821	1749	378
822	1751	376
823	1754	374
824	1756	372
825	1758	370
826	1760	368
827	1763	366
828	1765	364
829	1768	362
830	1770	360
831	1772	357
832	1774	355
833	1777	353
834	1779	351
835	1781	349
836	1784	347
837	1786	345
838	1788	343
839	1791	341
840	1793	339
841	1797	337
842	1800	335
843	1803	333
844	1806	331
845	1808	329
846	1810	327
847	1812	324
848	1815	322
849	1817	320
850	1819	318
851	1821	316
852	1823	314
853	1825	312
854	1828	310
855	1829	307
856	1831	305
857	1833	303
858	1835	301
859	1838	299
860	1840	297
861	1843	295
862	1844	292
863	1846	290
864	1848	288
865	1850	286
866	1852	284
867	1855	282
868	1857	280
869	1859	277
870	1861	275
871	1863	273
872	1866	271
873	1868	269
874	1869	267
875	1871	264
876	1873	262
877	1875	260
878	1877	258
879	1879	256
880	1881	254
881	1882	251
882	1884	249
883	1887	247
884	1888	245
885	1890	243
886	1892	241
887	1895	239
888	1897	236
889	1899	234
890	1901	232
891	1903	230
892	1905	228
893	1906	226
894	1908	223
895	1912	221
896	1915	219
897	1918	217
898	1920	215
899	1921	213
900	1924	211
901	1927	209
902	1929	207
903	1932	205
904	1934	203
905	1936	200
906	1938	198
907	1940	196
908	1942	194
909	1944	192
910	1946	190
911	1948	187
912	1949	185
913	1951	183
914	1952	181
915	1955	179
916	1956	177
917	1958	174
918	1959	172
919	1961	170
920	1963	168
921	1965	166
922	1966	164
923	1969	161
924	1970	159
925	1972	157
926	1973	155
927	1975	153
928	1977	151
929	1978	148
930	1980	146
931	1982	144
932	1983	142
933	1985	140
934	1986	138
935	1988	135
936	1989	133
